FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate
ASIANPAINT,2018q3,542.63,3706.24,809.97,3706.24,95.92,6086.84,5501.09,11587.93,814.73,3960.37,5501.09,3398.96,4.76,5.66,7942.56,31225.5,65.23,0.0625
ASIANPAINT,2018q4,481.49,3914.17,709.56,3914.17,95.92,6086.84,5501.09,11587.93,716.19,3960.37,5501.09,3398.96,6.63,5.02,7090.57,29730,65.23,0.065
HINDUNILVR,2014q1,1062.31,7223.35,1309.81,7037.78,216.26,3942.48,7569.99,11512.47,1305.04,2508.54,7569.99,7655.86,18.2,4.91,4203.66,17264.05,93.17,0.08
HINDUNILVR,2014q2,872.13,7094.1,1223.11,6682.23,216.27,4145.93,8852.47,12998.4,1162.41,2741.84,8852.47,8603.84,5.33,4.03,4255.12,17612.95,93.17,0.08
HINDUNILVR,2014q3,1056.85,7716.34,1485.32,7278.23,216.31,4145.93,8852.47,12998.4,1451.93,2741.84,8852.47,8603.84,6.25,4.89,4481.14,19321.13333,93.17,0.08
HINDUNILVR,2014q4,988.16,7639.33,1405.8,7465.54,216.32,4145.93,8852.47,12998.4,1363.45,2741.84,8852.47,8603.84,6.33,4.57,4719.47,19849.18333,93.17,0.08
HINDUNILVR,2015q1,1252.17,7774.32,1770.83,7579.18,216.32,4145.93,8852.47,12998.4,1378.49,2741.84,8852.47,8603.84,4.24,5.79,4833.22,20715.9,48.66,0.0775
HINDUNILVR,2015q2,1018.08,7675.63,1525.47,7555,216.35,4370.51,9263.55,13634.06,1346.07,2936.54,9263.55,8782.82,0,4.71,4999.44,19924.58333,48.66,0.075
HINDUNILVR,2015q3,1069.16,7844.47,1565.13,7712.71,216.38,4370.51,9263.55,13634.06,1560.04,2936.54,9263.55,8782.82,4.67,4.94,4841.65,20329.53333,48.66,0.0725
HINDUNILVR,2015q4,982.17,7731.39,1438.19,7595.64,216.39,4370.51,9263.55,13634.06,1454.86,2936.54,9263.55,8782.82,4.53,4.45,5056.61,20196.5,48.66,0.0675
HINDUNILVR,2016q1,971.66,7763.95,1408.99,7605.82,216.39,4370.51,9263.55,13634.06,1493.09,2936.54,9263.55,8782.82,4.49,4.49,4680.58,19076.13333,43.29,0.065
