FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate,gain/loss %,1q_avg_diff,others_cr,others_dlr,others_dr,momentum_kama,momentum_pvo_hist,momentum_pvo_signal,momentum_pvo,momentum_ppo_hist,momentum_ppo_signal,momentum_ppo,momentum_roc,momentum_ao,momentum_wr,momentum_stoch_signal,momentum_stoch,momentum_uo,momentum_tsi,momentum_stoch_rsi_d,momentum_stoch_rsi_k,momentum_stoch_rsi,momentum_rsi,trend_psar_down_indicator,trend_psar_up_indicator,trend_psar_down,trend_psar_up,trend_aroon_ind,trend_aroon_down,trend_aroon_up,trend_visual_ichimoku_b,trend_visual_ichimoku_a,trend_cci,trend_adx_neg,trend_adx_pos,trend_adx,trend_stc,trend_ichimoku_b,trend_ichimoku_a,trend_ichimoku_base,trend_ichimoku_conv,trend_kst_diff,trend_kst_sig,trend_kst,trend_dpo,trend_mass_index,trend_trix,trend_vortex_ind_diff,trend_vortex_ind_neg,trend_vortex_ind_pos,trend_ema_slow,trend_ema_fast,trend_sma_slow,trend_sma_fast,trend_macd_diff,trend_macd_signal,trend_macd,volatility_ui,volatility_atr,volatility_dcp,volatility_dcw,volatility_dcm,volatility_dch,volatility_dcl,volatility_kcli,volatility_kchi,volatility_kcp,volatility_kcw,volatility_kcl,volatility_kch,volatility_kcc,volatility_bbli,volatility_bbhi,volatility_bbp,volatility_bbw,volatility_bbl,volatility_bbh,volatility_bbm,volume_nvi,volume_mfi,volume_vwap,volume_vpt,volume_sma_em,volume_em,volume_fi,volume_cmf,volume_obv,volume_adi,Stock Splits,Dividends,Volume,Close,Low,High,Open,PAT,EBITDA,ROE,ROA,ROCE,FAT,WCT,TAT,DEBT,ICR,DEBT Equity Ratio,P/E Ratio
ASIANPAINT,2014q1,307.47,2843.01,452.05,2807.66,95.92,2607.02,3041.26,5648.28,458.44,2154.44,3041.26,2358.66,6.39,3.21,4203.66,17264.05,93.17,0.08,9.756555473767941,44.71514208313022,-2.305023756009259,0.1485101114804796,-0.7310184140868075,458.09236986320406,-0.03261975511780941,-10.875410615215475,-10.908030370333286,0.14555786208845337,-0.3061813124707074,-0.1606234503822541,1.162323916405453,1.6841611062568143,-47.14479815582418,52.21360710336013,52.85520184417582,51.26898775102958,-45.175016937609314,0.48576059136611477,0.5069071211475275,0.5306356625189121,47.97027049483119,0.03225806451612903,0.03225806451612903,459.0396114321776,441.82694297013904,-17.032258064516128,51.16129032258065,34.12903225806452,693.4294235450825,698.3079731150516,4.353729848448394,12.818309056603189,14.130590592865936,13.98194908108624,45.114524092232635,457.8348013359685,456.2387991409809,456.4823760924059,455.99522218955593,40.31767857554668,-288.0603968719112,-247.74271829636453,101.47627823450863,19.760533356004817,-0.9196037052224179,0.06469646881356651,0.7435663840899315,0.808262852903498,457.15116590125797,456.45240847686375,454.6710057072913,455.21299649191394,0.6823140874191232,-1.3810715118133396,-0.6987574243942163,2.11109723403811,8.315502923127868,0.4974004164895631,7.806932698545783,456.2745716037759,474.0336790299571,438.5154641775947,0.0967741935483871,0.24193548387096775,0.6491200133277627,4.265961168560083,445.49809552137225,464.951983606554,455.22503956396315,0.06451612903225806,0.12903225806451613,0.5100508185927444,6.734548469408152,439.2579821344774,469.9270729811102,454.5925275577938,949.3894132225201,53.972038425322246,455.15044652038637,-32473.789123404433,-227.51497423432494,841.6136332026886,-1430207.94681441,0.13986226396410384,-1984073.1451612904,5678965.518061078,0.0,0.0,902831.5322580645,458.3086951471144,452.7506045879496,462.43298055535234,457.06641542493446,0.10814946131037176,0.16100596226038766,3.2054837364470394,0.05443604070619729,0.13935956128671398,1.3196050945953472,4.164972165250511,1.3196050945953472,0.4175890713633177,71.7433489827856,0.7170007478067375,142.7752944383534
ASIANPAINT,2014q2,267.07,2724.04,390.39,2686.6,95.92,2699.3,3982.41,6681.71,409.13,2050.15,3982.41,2783.84,8.78,2.78,4255.12,17612.95,93.17,0.08,16.793077860242647,84.47318464165522,7.226640796320107,0.1450353352221303,0.1619550145949698,500.3179336979805,-0.1507102214703095,3.367346020288744,3.2166357988184346,0.017917369433927213,1.0555740038157446,1.0734913732496718,2.1808215085883313,11.279869475438568,-43.808526236221795,56.25834782460921,56.191473763778205,49.8447205085351,11.795157810698143,0.44955583857933823,0.44868857300249715,0.4481992984567621,55.93161616381994,0.04918032786885246,0.04918032786885246,504.1925957972169,491.76438257736214,19.081967213114755,38.950819672131146,58.032786885245905,468.39421572408037,476.9532353454362,16.547802783444176,16.80390384751938,22.760248655649747,26.330445683110955,55.48429756561365,486.27622139167687,497.30247508792826,494.1567929601659,500.4481572156906,0.6335440062866758,36.966431914703406,37.59997592099008,-1.450089776711388,25.69451172647212,0.15658531406054038,0.11409193382041227,0.9335929534721431,1.0476848872925553,493.17922353814015,498.5148954328461,493.05153004669154,498.3987995835601,0.16223105527836712,5.173440839427635,5.335671894706002,4.079495467356579,13.479956855370723,0.5819940786731723,12.165693273731527,496.244278699475,526.3634378772288,466.12511952172116,0.11475409836065574,0.3114754098360656,0.630248321811973,5.479541053033544,485.5763161786989,512.9541451363554,499.26523065752707,0.04918032786885246,0.04918032786885246,0.5695861882046833,12.701263270634302,463.67364094715134,526.5931197570143,495.1333803520828,1004.8638020467183,52.06154305422811,497.5823750562439,9199.895932688862,716.8764485736054,603.1153572518117,2119644.319115484,-0.010994058402418492,4283515.229508197,7276694.405094341,0.0,0.06885245901639345,1011919.1803278689,503.0238372302446,496.1981369809383,509.91658920159966,503.04481430421833,0.09804187897387703,0.14531005732152164,2.78429941618015,0.039970307002249426,0.10496245385300176,1.3287027778455234,2.27274168383991,1.3287027778455234,0.41663586117924906,46.597949886104786,0.7141951886543164,180.94382634181463
ASIANPAINT,2014q3,308.84,2740.73,454.36,2706.86,95.92,2699.3,3982.41,6681.71,483.78,2050.15,3982.41,2783.84,4.26,3.22,4481.14,19321.13333,93.17,0.08,12.978797620110539,76.25004949293043,25.23329407216884,0.0965362626861275,0.10868275014859402,584.0532105108938,0.7315622729214406,-2.3403183619217187,-1.608756089000278,-0.1029608051190896,1.9331973347155194,1.8302365295964298,2.469778967783112,21.924509002948934,-42.75299946893772,58.29011784167891,57.247000531062284,47.48924547948879,22.764392302125696,0.41568081339211166,0.4022350106775267,0.3889653005908934,59.72988664110295,0.06349206349206349,0.047619047619047616,590.3355260876259,573.8646027337523,42.095238095238095,26.476190476190474,68.57142857142857,518.6156923434868,538.4079341606574,57.978218228146744,12.974982396635962,25.375927114058307,36.85750550909299,48.74542504702478,552.60050862034,579.162889475232,572.7274580061375,585.5983209443267,-2.5470518856125075,70.0929276472594,67.54587576164688,-0.5602643209790387,24.969520212689314,0.28682852030520245,0.1722933095057193,0.8912803362142508,1.0635736457199703,571.5327451538029,581.8826097350576,571.3016344193866,582.8283289349268,-0.48063476663924515,10.83049934789391,10.349864581254666,2.46854143755975,14.79842215845427,0.6222354060793378,11.444311548874678,577.8200328741816,610.7165467254616,544.9235190229016,0.06349206349206349,0.1746031746031746,0.6234501036001686,4.9823738664069355,569.7391288135625,598.8379340356475,584.2885314246051,0.0,0.12698412698412698,0.6571475059185379,10.813436366177973,545.4789658426439,607.707199812583,576.5930828276134,1095.779125736036,63.839572296126704,581.9123379155401,5617.44189273923,1362.6560089886152,310.255555826535,2148485.8990525883,-0.010606779138248264,19169526.777777776,9457027.23253513,0.0,0.02857142857142857,959112.8095238095,587.4970218718998,580.6608219687782,595.5560447616583,587.1905335698389,0.11268530646944426,0.16785500543064658,3.2197664720600496,0.04622170073229757,0.12411393915138268,1.3368436455869082,2.286666611044829,1.3368436455869082,0.41663586117924906,113.56338028169014,0.7141951886543164,182.45249126456517
ASIANPAINT,2014q4,325.67,2995.71,468.75,2953.5,95.92,2699.3,3982.41,6681.71,475.19,2050.15,3982.41,2783.84,6.44,3.39,4719.47,19849.18333,93.17,0.08,17.22367406809856,114.3216322084279,41.48706986279353,0.30712120898182976,0.32664331929332724,655.2900358415473,-1.2383662406742717,3.7168274266247985,2.478461185950527,0.04815316586384088,1.649335882658195,1.6974890485220357,3.3401653598864787,25.913870306663473,-39.95267953539899,59.71401302744535,60.04732046460101,50.82781332467284,17.419008894984806,0.4530803443364667,0.457485300831509,0.46204830104224126,58.699218088436254,0.034482758620689655,0.05172413793103448,658.2071800945653,640.6733321723426,24.275862068965516,24.551724137931036,48.827586206896555,596.4230828605723,609.7480153987766,57.044714505917625,16.01555618666388,26.036619533387615,23.81502810369315,50.788216279864315,635.407494320111,651.3609333808288,645.2707483907819,657.4511183708756,2.857199643103941,58.216558138442046,61.073757781545986,-1.7816928731984063,25.587060294702752,0.24598694489360037,0.16351652846313267,0.8744775974925463,1.0379941259556789,642.5225138876924,653.8354185862889,641.0730560464631,653.998264707368,0.39361529637205195,10.91928940222439,11.312904698596443,3.1139812084281555,17.873620321768893,0.6288647401565826,13.177179680630253,649.9252859612311,693.2798482706007,606.5707236518614,0.08620689655172414,0.29310344827586204,0.7284991495235088,5.276696372035099,638.2332708585172,673.0754685334025,655.6543696959599,0.0,0.10344827586206896,0.662081662694147,13.157791704749508,603.5292554491848,690.7311033743943,647.1301794117895,1127.7791559551524,57.09149229302655,652.8521096346072,21539.26906368292,1377.7006988145313,2269.3709173218776,6743635.188073665,0.019645854470252345,33083038.844827585,8584746.890816482,0.0,0.0,1462813.0344827587,663.7470713648303,655.1312375331719,672.5329971497836,664.0218379554329,0.10871212500542443,0.15871000507872016,3.3952251876563806,0.04874051702333684,0.12191017145261386,1.4612150330463625,2.499403455784811,1.4612150330463625,0.41663586117924906,73.78726708074534,0.7141951886543164,195.79559627281128
ASIANPAINT,2015q1,353.07,3025.41,512.82,2979.1,95.92,2699.3,3982.41,6681.71,520.66,2050.15,3982.41,2783.84,7.84,3.68,4833.22,20715.9,48.66,0.0775,-5.846751711814351,-45.4917452452612,65.856341624464,0.12377450366915047,0.14516194082704542,782.440163026533,-0.00788389113338245,-2.437218390885088,-2.4451022820184702,-0.12952238063848392,1.3158846453882416,1.1863622647497576,1.8954414379102988,14.67275505571626,-48.284503349774475,51.59991949460523,51.715496650225525,44.853431588266226,10.369303168955852,0.4941161201808148,0.49413582078169194,0.498432513168401,54.67461135672859,0.04918032786885246,0.03278688524590164,787.1452156240512,757.7881877398689,0.524590163934426,50.032786885245905,50.557377049180324,705.5632518686444,739.2847081969323,14.299800926593068,19.551051952088677,24.83293478087995,22.42520435972789,40.68175952581302,756.4198394264423,776.4499081188019,775.3749858835874,777.5248303540163,-6.492333648884692,45.89090235596031,39.39856870707562,-2.642608992779837,24.882176183845583,0.18841210696940647,0.0951207358290609,0.9071248615805247,1.0022455974095856,763.9292202588939,772.8770299003363,766.7575767873063,772.7705828557249,-0.9204063049305687,9.868215946372924,8.947809641442356,4.642987416691939,22.355373497371993,0.5232263109239522,13.606018711943607,775.2805125033486,827.6731154177235,722.8879095889738,0.16393442622950818,0.21311475409836064,0.6011329102796918,5.454900769420126,753.809439323254,796.1490049432987,774.9792221332764,0.01639344262295082,0.06557377049180328,0.5537473970329007,12.465252226980141,721.2083577551043,817.0266252951327,769.1174915251185,1158.4667011630074,56.964461488774866,775.5019889767926,2160.9594077384845,493.65300440331544,142.6610420080931,170961.41661899496,-0.1263256986784079,42422656.93442623,3270187.1427524607,0.0,0.0,1619419.0327868853,778.0687035732582,768.9186736879205,790.3140971054512,780.6166827056609,0.11670153797336559,0.17213923668221948,3.680879899916597,0.05284126368848693,0.13357551688486274,1.4757017779186887,2.5241829847234625,1.4757017779186887,0.41663586117924906,66.41071428571428,0.7141951886543164,211.4317129275158
ASIANPAINT,2015q2,339.82,2886.97,497.64,2846.2,95.92,3103.93,4169.27,7273.2,494.61,2105.03,4169.27,2757.82,8.6,3.54,4999.44,19924.58333,48.66,0.075,9.384682329128514,68.7500203554747,56.15913313138297,-0.10779714761535274,-0.09357982071407552,737.5013077842249,0.761928673468118,-0.4131400676790651,0.3487886057890531,-0.04163395642771174,-0.9329510470736171,-0.9745850035013288,-1.7483719466746557,-16.420032418635902,-56.27279654879683,43.19669347831652,43.72720345120317,48.432611865261386,-9.934054223266067,0.5117411521423516,0.5202777746966301,0.5242522904166,45.218238409178056,0.03278688524590164,0.04918032786885246,757.661281392668,723.6257629136206,-21.57377049180328,61.83606557377049,40.26229508196721,779.1658338282965,768.327381328802,-31.41200432586368,26.50506095816741,17.310599185786117,23.196292596349192,49.21540324953182,761.4916604123172,740.6398215023081,745.7240558590398,735.5555871455765,-1.7485523624028012,-28.900590257946607,-30.649142620349412,1.5131209076428074,24.949394871779063,-0.1360892006530827,-0.11863839433264194,1.0408104642707634,0.9221720699381214,745.0133525765823,737.8864568046512,746.2849620227405,737.371395423764,-0.2810825029836713,-6.845813268947384,-7.126895771931056,5.65265914408157,20.989456125669935,0.40933045536208323,12.83305180125157,742.7426020062746,790.4159529939093,695.0692510186398,0.2786885245901639,0.19672131147540983,0.4154897593629035,5.564123299682381,716.0399715986862,756.9722504914414,736.5061110450639,0.08196721311475409,0.04918032786885246,0.4075125125418676,10.891678046669583,702.3552147379908,783.3297410965699,742.8424779172803,1137.4903611822626,49.489093869579435,737.8498213754599,-3657.3427789473217,-3438.8522282236313,-3247.5931763866815,-1953616.6707350684,-0.026629855103815603,43741214.2295082,-3580600.8279365837,0.0,0.07049180327868852,1424758.524590164,732.576958327997,722.8024734947035,742.9869948850007,734.5068238606717,0.11770818539853203,0.17484365118403486,3.542743953294412,0.04672221305615135,0.10953895353215014,1.371462639487323,2.0453930355308367,1.371462639487323,0.37917560358576696,57.512790697674426,0.6107614420048812,206.94264359547938
ASIANPAINT,2015q3,427.54,3093.2,616.49,3051.38,95.92,3103.93,4169.27,7273.2,619.28,2105.03,4169.27,2757.82,2.79,4.46,4841.65,20329.53333,48.66,0.0725,1.3406242106710435,10.742783482869413,70.81417170368415,0.16894322708852355,0.19178480681430793,791.4186952508092,-0.3030872563923315,-3.2271988934921856,-3.530286149884517,-0.012601022446789673,1.1607301151915854,1.1481290927447956,2.293242653087992,18.39896065323231,-39.88361190529413,60.331166158845434,60.11638809470587,51.20946366408708,10.977439052150036,0.48941328912967635,0.485217824901046,0.4844481872852464,55.204729655743094,0.0625,0.0625,805.3883323009488,783.5097250065294,21.125,34.4375,55.5625,746.9877150060557,755.7832441521914,30.728349442067653,19.227596223268375,22.740299136664362,24.267448616780747,53.951174829533294,767.5209421870395,791.044858251973,786.0440872761068,796.0456292278391,-0.7263716878366165,45.96243521951688,45.236063531680266,-2.149458408355713,25.45862319643411,0.17800302704921955,0.1350445927305785,0.8900267088766914,1.02507130160727,786.1859323144812,795.1372048087576,786.3714412175692,795.5968158245087,-0.15024393346197873,9.10151642773846,8.95127249427648,3.9727568223438796,24.220888631934063,0.6059281858634553,14.478937458646824,788.9259448334134,845.9182248238286,731.933664842998,0.109375,0.265625,0.6382881232493924,5.9042628951879434,773.300665193036,820.4456990433889,796.8731821182125,0.046875,0.0625,0.5895761982250037,13.692554082080843,736.2018393198994,843.8568869908306,790.029363155365,1201.9332443469268,55.461658154421,793.6007764182993,5663.147755353161,-2376.911527791271,-2457.258621777832,1699578.7396785617,0.03508150832384334,60731232.796875,507129.3619472096,0.0,0.0,1218186.25,801.3269786834717,789.0872642363863,813.3893081222426,802.1147874329968,0.13821931979826718,0.2020364556364661,4.457256046705588,0.05878292910960788,0.13714903286102167,1.4694327396759188,2.1915051896985362,1.4694327396759188,0.37917560358576696,221.96415770609318,0.6107614420048812,179.66972616221338
ASIANPAINT,2015q4,370.75,3224.15,541.31,3179.59,95.92,3103.93,4169.27,7273.2,545.83,2105.03,4169.27,2757.82,4.52,3.87,5056.61,20196.5,48.66,0.0675,2.4751433300515457,20.09989055362564,73.10414784480096,0.08551091987108499,0.09563366336097667,804.1358256972511,-0.656729318607723,-3.1060838890708147,-3.762813207678538,0.1633810030316657,0.20174335953944428,0.36512436257111,1.5666065442593975,9.68162826517159,-35.47469601517541,64.25485242567503,64.52530398482459,50.94893199078454,4.083047385195708,0.6046954742424099,0.6057092178390278,0.6026018919733811,53.20902591942876,0.03333333333333333,0.03333333333333333,806.086981659392,801.898801143724,31.333333333333332,37.13333333333333,68.46666666666667,802.5759956598326,800.4190183133263,47.222781229761985,19.92258187247928,22.104259019906,18.24909571410837,72.20098293878944,803.343010021735,802.3238663120088,798.5303204060582,806.1174122179594,6.890852111137872,2.3957581811495015,9.286610292287374,-1.234242706298833,24.274353285797392,0.026436545307169382,0.11083501114308597,0.9232483294735198,1.0340833406166057,803.7069291048025,806.7154619535993,800.6744864830604,806.1780826992458,1.3187440696200665,1.6897887791766608,3.0085328487967273,3.257656447884451,18.980416673404196,0.6606774748986254,10.509960939452913,800.4281793928735,842.5335321534656,758.3228266322815,0.15,0.21666666666666667,0.636424178015999,4.413401805589288,789.218429731078,824.7875469811542,807.0029883561161,0.0,0.03333333333333333,0.6379776775596547,10.048348882124998,762.3226557261082,842.8577376454738,802.590196685791,1178.934607218405,55.35259089682952,804.5175005022205,-1664.1380117278286,1816.0113488243192,1722.1114555798638,-452509.9654997405,0.007480957099314385,67502575.95,-591724.8100541559,0.0,0.03666666666666667,978834.7666666667,812.0697621663411,803.8655984012545,820.3716382141714,812.7396108775324,0.11499154815998015,0.17024522029569847,3.8652001668056712,0.05097481163724358,0.12088240635339664,1.5316408792273744,2.2842821212228555,1.5316408792273744,0.37917560358576696,120.75884955752214,0.6107614420048812,209.83714784659975
ASIANPAINT,2016q1,423.57,3218.51,638.51,3165.63,95.92,3103.93,4169.27,7273.2,709.6,2105.03,4169.27,2757.82,5.79,4.42,4680.58,19076.13333,43.29,0.065,8.20403584396129,68.27149659171425,77.38872361422412,-0.028353447488578157,-0.01599101058061042,828.2315892448477,1.1676975135479952,1.0005143930610803,2.1682119066090757,-0.08899530223969718,0.25715401063951043,0.16815870839981326,-0.20371773770564772,1.1267562421464137,-51.57922437748572,49.07803917590489,48.42077562251428,47.45961031778319,2.566863948430224,0.4497281792735616,0.4459714606269207,0.44445053054688954,50.38930165673906,0.06557377049180328,0.06557377049180328,850.8191884636213,817.8755858461274,2.557377049180328,53.77049180327869,56.32786885245902,810.214922568972,823.1083036320598,-12.697946590526026,20.502556830124412,17.39475446754283,16.75279045166554,44.4943257672975,823.8184231968555,832.20044566406,830.6564336193438,833.7444577087762,-2.9319819836113017,11.09302579186325,8.161043808251948,1.1657098488729474,25.2731249431661,0.03774750352472125,0.002569698344045003,0.9847291114073796,0.9872988097514246,831.5878218701151,832.9953033053866,832.706648529553,833.6478148913774,-0.7323840720788237,2.139865507350401,1.4074814352715774,2.965125743182589,20.714311222404476,0.5050765718912287,8.646959288318447,831.8046887629034,867.823445309405,795.7859322164019,0.14754098360655737,0.08196721311475409,0.46018908863568153,4.943806571956243,813.3269789798771,854.5125100149021,833.9197444973897,0.04918032786885246,0.03278688524590164,0.47069169383883225,6.6175353217392985,805.7732491069422,860.8747413355527,833.3239952212475,1138.299523390685,52.26714539700003,833.7660149977329,679.4794378656167,-2591.4255835057315,-2599.2246114047907,139425.60142506598,-0.014390183813159733,69067076.5737705,-1891799.3353219857,0.0,0.0,1182947.262295082,832.1696527199667,822.3445362715127,843.4390248857446,834.2090091536082,0.131604375937934,0.2017007673038226,4.415867389491242,0.058237089589176706,0.1571517790307793,1.5289615824952614,2.280286230472209,1.5289615824952614,0.37917560358576696,122.55613126079447,0.6107614420048812,188.27367708596532
ASIANPAINT,2016q2,400.95,3034.56,606.79,3034.56,95.92,3866.59,4497.56,8364.15,617.14,2717.93,4497.56,3065.84,10.3,4.18,4855.36,20622.6,43.29,0.0625,18.89174241994937,170.1090225711945,91.94175808268047,0.2414838672890392,0.24939580708411202,891.1387463676863,-1.254485467906479,-1.6174232184631987,-2.8719086863696774,0.07905579050942553,1.2578678404992791,1.3369236310087045,2.788340144486358,28.338588779479867,-36.0374422309093,63.57166534952067,63.9625577690907,56.72255437422401,17.520549567860847,0.5571954736104748,0.5567799804059284,0.5588008415068179,59.15643320571895,0.06451612903225806,0.04838709677419355,884.5644426297919,876.3365812419017,44.32258064516129,27.35483870967742,71.6774193548387,835.979540502905,839.3882147466244,54.5113066442796,14.615822860375326,25.85988442313508,27.129358332359917,57.712153817293505,863.8065119533965,884.3177589822134,877.0655761623473,891.5699418020796,2.893679040051882,45.344314197144506,48.23799323719639,-3.5284142278855777,24.784503551996867,0.1897620481158151,0.18081505388359925,0.881045925979623,1.0618609798632221,877.4052001014394,889.4878376173103,875.614278750739,889.2952518258043,0.7340723279425923,11.348565187928338,12.082637515870932,2.2234255903973845,17.987379344803053,0.658892875610391,9.339674192077727,882.4205436453204,923.8718486123485,840.9692386782925,0.016129032258064516,0.3709677419354839,0.7669721503885029,3.8632890954812527,873.3476469711717,907.727844162013,890.5377455665922,0.0,0.0967741935483871,0.6656195405965571,9.40269951271828,840.0316616331777,923.5733334052546,881.8024975192162,1175.7656286317144,57.98747551912619,889.0195312354531,8654.88098312112,2511.04142067672,2857.3834873943783,3767054.170992937,0.11972452293967828,78920203.64516129,1892159.6991623382,0.0,0.08548387096774193,986119.5322580645,900.441149311681,890.6324134867617,907.783909673052,898.4879645466384,0.13212788674470105,0.19995979647790782,4.180045871559633,0.047936729972561466,0.11647865073957546,1.1164967456851354,2.119520576649065,1.1164967456851354,0.3665453154235637,59.916504854368924,0.5786448886531744,215.41654289753134
